"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Alan Belcher","2013-04-27",1,0,0,5.357142857,3.857142857,5.857142857,4.142857143,39.64285714,15.92857143,7.285714286,4.428571429,40.07142857,14.28571429,0.214285714,7.357142857,6.357142857,0.642857143,0.142857143,52.78571429,24.5,0.410714286,0.571428571,0.857142857,0.285714286,0.188571429,63.64285714,34.57142857,4,5,4.928571429,3.285714286,7.142857143,4.857142857,46.35714286,15.28571429,6,3.714285714,52.42857143,18.85714286,0,2.142857143,1.714285714,2.5,0.071428571,59.5,23.85714286,0.423571429,0.714285714,3.5,1.571428571,0.417142857,83.71428571,46.64285714,28,527.6428571,0,0,1,0,4,3,1,9,"Orthodox",187.96,185.42,185,29,0.401801801866797,0.707317073212373,0.607843137289888,0.670261941376255,0.3200000000336,0.380952381,52.785714284,0.759133964814911,0.356506238978842,0.10148849797082,0.719999999992533,0.139377537214269,0.864077669900273,"/fighter/Alan-Belcher-10967"
"Alan Jouban","2019-04-13",0,1,0,13.27272727,8.727272727,9.545454545,6.090909091,66,33.54545455,5.090909091,3.181818182,56.54545455,24.81818182,0.818181818,10.81818182,9.272727273,0.272727273,0,80.63636364,42.81818182,0.542727273,0,0.545454545,0.272727273,0.127272727,85.81818182,47.72727273,3,4,6.545454545,3.818181818,6.727272727,3.818181818,59.54545455,21.36363636,3.818181818,2.363636364,60.36363636,21.36363636,0.272727273,3.181818182,2.363636364,0.818181818,0,70.09090909,27.54545455,0.422727273,0.181818182,1.454545455,0.545454545,0.295454545,76.72727273,33,21,474.5454545,0,0,0,3,4,0,0,7,"Southpaw",182.88,185.42,170,37,0.508264462878788,0.638095238135147,0.625000000024554,0.641221374134258,0.43243243243645,0.380952380827664,80.63636364,0.701240135312233,0.438906752408448,0.164599774479612,0.657534246689904,0.134160090208155,0.85714285702401,"/fighter/Alan-Jouban-65878"
"Alan Omer","2015-06-20",1,0,0,15,10,27,22,58,26,16,10,70,33,0,16,15,1,0,101,58,0.57,0,3,1,0.33,112,69,0,1,9,5,22,12,57,14,14,10,70,20,1,14,11,0,0,93,36,0.38,0,5,2,0.4,163,97,3,900,0,0,0,0,0,0,0,0,"Orthodox",177.8,180.34,145,26,0.448275862068966,0.814814814814815,0.625,0.754385964912281,0.454545454545455,0.285714285714286,101,0.693069306930693,0.471428571428571,0.148514851485149,0.666666666666667,0.158415841584158,0.9375,"/fighter/Alan-Omer-23437"
"Alan Patrick","2018-10-06",0,3,0,8,4,4.166666667,2.666666667,36.16666667,12.16666667,10.16666667,7.333333333,39.16666667,15.16666667,0.166666667,3.333333333,3,3.666666667,0,50.5,22.16666667,0.503333333,0.333333333,8.333333333,3.666666667,0.435,94.5,57.66666667,3,1,11.66666667,7.5,7.166666667,4.333333333,30.83333333,13.5,5.166666667,3.5,28.66666667,11.33333333,0.166666667,2.833333333,2.5,0.666666667,0,43.16666667,21.33333333,0.478333333,0.5,0.666666667,0.166666667,0.055,70.66666667,46.5,15,704,0,0,0,4,1,0,0,5,"Southpaw",180.34,187.96,155,35,0.336405530015078,0.6400000000288,0.721311475140554,0.562162162114828,0.395348837283937,0.322580645204995,50.500000003,0.775577557775708,0.387234042605342,0.158415841574748,0.5,0.0660066006495442,0.90000000009,NA
"Albert Morales","2018-02-24",2,0,0,8,5.4,5.8,2.2,141.4,47.2,3,2.4,119,29.4,0,23.2,17,0.4,0,150.2,51.8,0.326,0,1.4,0.4,0.166,177.8,70,1,4,14,7.8,4,2,112.6,44,14,10.4,106.2,41,0.4,10.4,7.6,1,0,130.6,56.4,0.44,0.4,1.8,0.8,0.186,164.2,86.8,14,799.4,0,0,1,0,0,0,0,1,"Orthodox",175.26,182.88,135,26,0.333804809052334,0.379310344827586,0.8,0.609236234458259,0.5,0.257142857142857,150.2,0.792276964047936,0.247058823529412,0.0532623169107856,0.675,0.154460719041278,0.732758620689655,NA
"Albert Tumenov","2016-10-08",1,0,0,8.571428571,5.857142857,4,2.714285714,74,30.28571429,5,2.285714286,72.57142857,27.85714286,0.714285714,1.857142857,1.571428571,0,0.142857143,83,35.28571429,0.414285714,0,0.714285714,0.142857143,0.142857143,87.28571429,38,5,2,10.85714286,7.857142857,3.142857143,2.428571429,67.14285714,26.85714286,4.857142857,3.857142857,53.71428571,16.57142857,0,10.57142857,8.714285714,1.428571429,0,75.14285714,33.14285714,0.385714286,0.142857143,3.714285714,0.857142857,0.224285714,80.85714286,38.42857143,14,524.1428571,0,0,1,1,3,0,0,5,"Orthodox",180.34,185.42,170,24,0.409266409324324,0.6785714285,0.4571428572,0.599999999940426,0.227272727171488,0.205882352947232,82.999999998,0.874354561105406,0.383858267763462,0.103270223749476,0.683333333350833,0.0223752151451175,0.846153845988166,"/fighter/Albert-Tumenov-60198"
"Alberto Crane","2008-01-23",1,0,0,2,2,0,0,6,4,0,0,1,0,0,3,2,3,2,6,4,0.66,3,7,0,0,16,14,0,1,7,4,0,0,12,3,52,23,55,20,0,2,2,5,0,64,26,0.4,0,0,0,0,148,97,3,710,0,0,0,0,0,0,0,0,"Orthodox",165.1,169.106266195724,155,31,0.666666666666667,0,0,0.75,0,0.557692307692308,6,0.166666666666667,0,0.333333333333333,1,0.5,0.666666666666667,"/fighter/Alberto-Crane-4767"
"Alberto Mina","2018-05-12",0,3,0,5,3.333333333,8,4.333333333,66,28.33333333,10.66666667,7,71.33333333,29.33333333,1,8.333333333,7,0.333333333,0.333333333,84.66666667,39.66666667,0.466666667,0,6.333333333,1.333333333,0.376666667,99.66666667,49.66666667,3,0,1.666666667,1.333333333,3.333333333,2,59.33333333,31.33333333,4,3.666666667,54.33333333,27.33333333,0,10.66666667,8.333333333,0.666666667,0,66.66666667,37,0.456666667,0.333333333,0.666666667,0.333333333,0.333333333,79.33333333,46,6,511.3333333,0,0,1,0,2,0,0,3,"Orthodox",182.88,195.58,170,36,0.429292929242424,0.541666666625,0.656249999794922,0.471910112386062,0.39999999994,0.08333333325,84.666666663,0.842519685036487,0.411214953243515,0.0590551181127937,0.6666666666,0.0984251968507192,0.8400000000336,"/fighter/Alberto-Mina-16705"
"Alberto Uda","2016-08-20",1,0,0,5,3,13,11,12,3,2,1,19,12,0,3,0,1,1,27,15,0.55,0,2,1,0.5,40,28,0,1,9,6,19,10,25,12,10,5,45,21,1,0,0,1,0,54,27,0.5,0,5,1,0.2,61,34,2,366,0,0,0,0,0,0,0,0,"Orthodox",190.5,195.58,185,32,0.25,0.846153846153846,0.5,0.52,0.473684210526316,0.5,27,0.703703703703704,0.631578947368421,0.185185185185185,0.6,0.111111111111111,0,NA
"Alejandro Perez","2019-03-02",0,4,0,5,3.777777778,4.666666667,2.333333333,97.55555556,31.22222222,9.777777778,6.666666667,90.88888889,26,0,16.11111111,10.44444444,0.333333333,0,112,40.22222222,0.347777778,0.111111111,2,0.333333333,0.11,130,56.55555556,4,2,12.11111111,7.555555556,2.666666667,0.777777778,85.22222222,29,2.222222222,1.444444444,67.88888889,16,0.444444444,10.11111111,7.666666667,0.555555556,0.111111111,90.11111111,31.22222222,0.346666667,0.666666667,2.444444444,0.888888889,0.166666667,93.33333333,33.88888889,21,650.5555556,1,0,1,3,3,0,0,7,"Orthodox",167.64,170.18,135,29,0.320045558049201,0.499999999892857,0.681818181836777,0.659713168178871,0.708333333286458,0.350000000135,112,0.811507936517857,0.286063569678654,0.0446428571428571,0.7555555556,0.143849206339286,0.648275861837812,"/fighter/Alejandro-Perez-13428"
"Aleksandar Rakic","2019-06-01",0,3,0,10.33333333,8.333333333,6.666666667,4.666666667,68.33333333,26.33333333,38,29.33333333,86.66666667,40.66666667,0.666666667,16,11.33333333,1.333333333,0,113,60.33333333,0.566666667,0,1.666666667,1,0.25,181,123.6666667,3,0,1.666666667,0,3.333333333,3,30.66666667,12.33333333,3.333333333,3,29.66666667,13.66666667,0.333333333,6,4.666666667,0.333333333,0,37.33333333,18.33333333,0.5,0,5.666666667,0.666666667,0.046666667,49,29.33333333,7,681.6666667,0,0,0,2,1,0,0,3,"Orthodox",193.04,198.12,205,27,0.385365853628554,0.700000000015,0.771929824473684,0.597826087108932,0.0999999999100001,0.0999999999100001,113,0.766961651946903,0.469230769251183,0.0914454276991151,0.806451613131113,0.141592920353982,0.708333333125,NA
"Aleksei Kunchenko","2018-12-01",0,1,0,8,5,12,4,141,40,0,0,133,32,0,12,7,0,0,153,44,0.28,0,2,1,0.5,166,56,1,0,22,11,2,0,173,56,0,0,116,19,0,37,26,0,0,175,56,0.32,0,0,0,0,175,56,3,900,0,0,0,1,0,0,0,1,"Orthodox",172.72,177.8,170,34,0.283687943262411,0.333333333333333,0,0.676300578034682,1,0,153,0.869281045751634,0.240601503759398,0.0522875816993464,0.625,0.0784313725490196,0.583333333333333,NA
"Aleksei Oleinik","2019-04-20",0,2,0,4.25,3.875,5.375,4.125,26.625,10.5,3.25,2.625,28.5,11.5,0.25,2.5,1.875,1.25,0.125,35.25,17.25,0.45125,1,2.875,1.125,0.22125,58.25,38.5,2,2,4.625,3.5,7,5.25,28.875,10.5,3.625,2.75,33.125,13.375,0.25,1.75,1.625,0.875,0.25,39.5,18.5,0.4775,0,1.125,1,0.625,52.375,31.125,12,338.75,0,0,0,0,1,5,0,6,"Orthodox",187.96,203.2,240,41,0.394366197183099,0.767441860465116,0.807692307692308,0.636363636363636,0.25,0.241379310344828,35.25,0.808510638297872,0.403508771929825,0.120567375886525,0.911764705882353,0.0709219858156028,0.75,NA
"Alessandro Ricci","2017-02-19",1,0,0,28,16,22,15,37,13,1,0,25,7,0,7,5,0,0,60,28,0.46,0,2,0,0,118,83,0,1,15,8,23,11,45,15,3,1,51,16,0,5,3,0,0,71,27,0.38,0,14,5,0.35,94,43,3,900,0,0,0,0,0,0,0,0,"Orthodox",180.34,175.26,155,34,0.351351351351351,0.681818181818182,0,0.666666666666667,0.521739130434783,0.666666666666667,60,0.416666666666667,0.28,0.466666666666667,0.571428571428571,0.116666666666667,0.714285714285714,NA
"Alessio Di Chirico","2018-07-06",0,1,0,10,6,9.25,5.25,66.5,25.25,5,2.75,66.25,24,0.5,4.5,3.25,1.25,0,80.75,33.25,0.3825,0,2.5,1.25,0.4975,99.5,49.75,1,2,14.75,8.25,8.25,6,65,22,0.25,0.25,48,12.25,0,10.75,7.75,0.75,0.25,73.5,28.25,0.4125,0.5,4.25,1,0.195,88.25,39.75,9,592,0,0,1,0,1,0,0,2,"Orthodox",182.88,187.96,185,28,0.379699248120301,0.567567567567568,0.55,0.661538461538462,0.272727272727273,0,80.75,0.820433436532508,0.362264150943396,0.123839009287926,0.6,0.0557275541795666,0.722222222222222,NA
"Alessio Sakara","2013-10-26",3,0,0,4.357142857,3.285714286,5.928571429,3.714285714,23.57142857,8.857142857,13.28571429,7.357142857,37.71428571,16,0.285714286,0.714285714,0.642857143,0.214285714,0.142857143,42.78571429,19.92857143,0.469285714,0,0.928571429,0.714285714,0.107142857,52.07142857,28.07142857,3,8,1.642857143,1.428571429,4.428571429,2.714285714,24.14285714,7.214285714,6.857142857,4.357142857,30.28571429,10.07142857,0.285714286,3.5,2.785714286,0.785714286,0,35.42857143,14.28571429,0.391428571,0.142857143,2.428571429,0.857142857,0.175,55.21428571,31.57142857,21,310.5714286,0,0,1,1,4,0,0,6,"Orthodox",182.88,182.88,185,32,0.375757575774288,0.626506024002903,0.553763440670829,0.701183431929134,0.387096774317378,0.364583333340929,42.785714281,0.881469115188943,0.424242424290634,0.101836393997865,0.754098360746036,0.0166944908131917,0.90000000056,"/fighter/Alessio-Sakara-5366"
"Alex Caceres","2019-02-17",0,1,0,15.47368421,11.42105263,6.157894737,4.368421053,87.73684211,41,4.526315789,3.052631579,75.47368421,30.89473684,0.157894737,7.473684211,6.105263158,1.105263158,0.526315789,98.42105263,48.42105263,0.464736842,0.684210526,0.631578947,0.473684211,0.227894737,109.5263158,58.21052632,2,10,10.47368421,5.947368421,4.052631579,2.631578947,86.15789474,28.26315789,6.473684211,4,76.05263158,21.10526316,0.210526316,10.15789474,7.842105263,1.684210526,0.263157895,96.68421053,34.89473684,0.398421053,0.631578947,4.947368421,2,0.392631579,116.8421053,51.78947368,51,753,0,0,3,3,0,2,1,9,"Southpaw",177.8,185.42,145,30,0.467306538667032,0.709401709443349,0.674418604733369,0.671960904159855,0.350649350748693,0.382113821183423,98.421052631,0.766844919785259,0.40934449090941,0.157219251332476,0.738095238018303,0.0759358288822649,0.816901408413013,"/fighter/Alex-Caceres-41586"
"Alex Chambers","2018-09-22",2,0,0,10.5,7.25,13.25,7.75,43,21.25,4,3.75,38.25,18.5,0,11.5,7,1.25,0,60.25,32.75,0.6175,0.75,4.25,1.75,0.4925,83,52.5,1,3,24.25,16.25,31.5,19.5,71.5,28.5,9.75,7.5,77.5,31.25,0,11,8,2.25,0.5,112.75,55.5,0.52,2,3.5,1.5,0.355,189.75,118.5,10,662.25,0,0,0,0,0,1,0,1,"Orthodox",160.02,160.02,115,39,0.494186046511628,0.584905660377358,0.9375,0.601398601398601,0.380952380952381,0.230769230769231,60.25,0.634854771784232,0.483660130718954,0.174273858921162,0.69047619047619,0.190871369294606,0.608695652173913,"/fighter/Alex-Chambers-65649"
