"fighter","date","current_lose_streak","current_win_streak","draw","avg_BODY_att","avg_BODY_landed","avg_CLINCH_att","avg_CLINCH_landed","avg_DISTANCE_att","avg_DISTANCE_landed","avg_GROUND_att","avg_GROUND_landed","avg_HEAD_att","avg_HEAD_landed","avg_KD","avg_LEG_att","avg_LEG_landed","avg_PASS","avg_REV","avg_SIG_STR_att","avg_SIG_STR_landed","avg_SIG_STR_pct","avg_SUB_ATT","avg_TD_att","avg_TD_landed","avg_TD_pct","avg_TOTAL_STR_att","avg_TOTAL_STR_landed","longest_win_streak","losses","avg_opp_BODY_att","avg_opp_BODY_landed","avg_opp_CLINCH_att","avg_opp_CLINCH_landed","avg_opp_DISTANCE_att","avg_opp_DISTANCE_landed","avg_opp_GROUND_att","avg_opp_GROUND_landed","avg_opp_HEAD_att","avg_opp_HEAD_landed","avg_opp_KD","avg_opp_LEG_att","avg_opp_LEG_landed","avg_opp_PASS","avg_opp_REV","avg_opp_SIG_STR_att","avg_opp_SIG_STR_landed","avg_opp_SIG_STR_pct","avg_opp_SUB_ATT","avg_opp_TD_att","avg_opp_TD_landed","avg_opp_TD_pct","avg_opp_TOTAL_STR_att","avg_opp_TOTAL_STR_landed","total_rounds_fought","total_time_fought.seconds.","total_title_bouts","win_by_Decision_Majority","win_by_Decision_Split","win_by_Decision_Unanimous","win_by_KO.TKO","win_by_Submission","win_by_TKO_Doctor_Stoppage","wins","Stance","Height_cms","Reach_cms","Weight_lbs","age","DistanceAtt","CloseAtt","GroundAtt","DistanceDef","CloseDef","GroundDef","HeadAttactPct","HeadAttactAccuracy","BodyAttactPct","BodyAttactAccuracy","LegAttactPct","LegAttactAccuracy","distance_att","close_att","ground_att","distance_def","close_def","ground_def","total_normal_att","head_att_pct","head_att_acc","body_att_pct","body_att_acc","leg_att_pct","leg_att_acc","url"
"Aisling Daly",2014-05-24,1,0,0,7.5,6,9,7,27,7,9.5,7.5,35.5,14,0,2.5,1.5,2.5,0,45.5,21.5,0.51,1,3.5,1.5,0.45,80,51,1,1,2.5,2,6,4,24.5,8.5,3,2.5,27.5,10,0,3.5,3,2.5,0,33.5,15,0.57,0.5,2.5,1.5,0.75,93,71.5,4,596.5,0,0,0,0,0,1,0,1,"",157.48,162.56,115,27,0.259259259259259,0.777777777777778,0.789473684210526,0.653061224489796,0.333333333333333,0.166666666666667,0.78021978021978,0.394366197183099,0.164835164835165,0.8,0.0549450549450549,0.6,0.259259259259259,0.777777777777778,0.789473684210526,0.653061224489796,0.333333333333333,0.166666666666667,45.5,0.78021978021978,0.394366197183099,0.164835164835165,0.8,0.0549450549450549,0.6,"/fighter/Aisling-Daly-25245"
"Akbarh Arreola",2019-06-08,1,0,0,18,16,2,1,68,26,3,3,46,9,0,9,5,1,0,73,30,0.41,0,2,2,1,73,30,0,1,19,8,35,24,127,38,1,0,102,20,0,42,34,0,0,163,62,0.38,0,0,0,0,195,88,3,900,0,0,0,0,0,0,0,0,"Southpaw",177.8,180.34,155,31,0.382352941176471,0.5,1,0.700787401574803,0.314285714285714,1,0.63013698630137,0.195652173913043,0.246575342465753,0.888888888888889,0.123287671232877,0.555555555555556,0.382352941176471,0.5,1,0.700787401574803,0.314285714285714,1,73,0.63013698630137,0.195652173913043,0.246575342465753,0.888888888888889,0.123287671232877,0.555555555555556,"/fighter/Akbarh-Arreola-6120"
"Akihiro Gono",2008-10-18,0,1,0,13,9,5,3,33,20,6,4,13,4,1,18,14,3,0,44,27,0.61,1,1,1,1,56,39,1,0,13,10,29,14,33,17,0,0,41,14,0,8,7,0,0,62,31,0.5,0,0,0,0,63,32,2,499,0,0,0,0,0,1,0,1,"Switch",170.18,172.72,170,34,0.606060606060606,0.6,0.666666666666667,0.484848484848485,0.517241379310345,0,0.295454545454545,0.307692307692308,0.295454545454545,0.692307692307692,0.409090909090909,0.777777777777778,0.606060606060606,0.6,0.666666666666667,0.484848484848485,0.517241379310345,0,44,0.295454545454545,0.307692307692308,0.295454545454545,0.692307692307692,0.409090909090909,0.777777777777778,"/fighter/Akihiro-Gono-1217"
"Akira Corassani",2019-06-01,1,0,0,8.5,6.5,6,4.25,55.75,25.25,0,0,46,16.75,0,7.25,6.25,0.25,0,61.75,29.5,0.4725,0,1.75,0.5,0.0825,65.75,33.25,3,1,12.75,9,15.5,12.5,64,23.5,6.75,6.25,66.25,26.75,0.5,7.25,6.5,0,0,86.25,42.25,0.54,0.25,3.75,0.5,0.2725,106.75,62.25,9,541.75,0,0,1,1,0,0,0,3,"Orthodox",172.72,172.72,145,32,0.452914798206278,0.708333333333333,0,0.6328125,0.193548387096774,0.0740740740740741,0.744939271255061,0.364130434782609,0.137651821862348,0.764705882352941,0.117408906882591,0.862068965517241,0.452914798206278,0.708333333333333,0,0.6328125,0.193548387096774,0.0740740740740741,61.75,0.744939271255061,0.364130434782609,0.137651821862348,0.764705882352941,0.117408906882591,0.862068965517241,"/fighter/Akira-Corassani-22641"
"Al Iaquinta",2019-06-01,1,0,0,13.81818182,8.454545455,4.636363636,2.818181818,111.2727273,42.54545455,3.363636364,2.454545455,98.63636364,33.09090909,0.636363636,6.818181818,6.272727273,0.545454545,0,119.2727273,47.81818182,0.441818182,0.272727273,2.545454545,0.727272727,0.234545455,122.9090909,50.90909091,5,3,9.090909091,6,2.272727273,0.727272727,111,39.81818182,6.818181818,4.636363636,105.0909091,34.63636364,0,5.909090909,4.545454545,0.909090909,0,120.0909091,45.18181818,0.373636364,0.454545455,4.363636364,1,0.107272727,130,53.63636364,28,671,2,0,1,3,4,0,0,8,"Orthodox",177.8,177.8,155,31,0.382352941123606,0.60784313726336,0.729729729785975,0.641277641261261,0.6800000001584,0.3200000000352,0.826981707311002,0.335483870946157,0.115853658546708,0.611842105215547,0.05716463414229,0.920000000064533,0.382352941123606,0.60784313726336,0.729729729785975,0.641277641261261,0.6800000001584,0.3200000000352,119.272727278,0.826981707311002,0.335483870946157,0.115853658546708,0.611842105215547,0.05716463414229,0.920000000064533,"/fighter/Al-Iaquinta-42817"
"Alan Belcher",2019-04-27,1,0,0,5.357142857,3.857142857,5.857142857,4.142857143,39.64285714,15.92857143,7.285714286,4.428571429,40.07142857,14.28571429,0.214285714,7.357142857,6.357142857,0.642857143,0.142857143,52.78571429,24.5,0.410714286,0.571428571,0.857142857,0.285714286,0.188571429,63.64285714,34.57142857,4,5,4.928571429,3.285714286,7.142857143,4.857142857,46.35714286,15.28571429,6,3.714285714,52.42857143,18.85714286,0,2.142857143,1.714285714,2.5,0.071428571,59.5,23.85714286,0.423571429,0.714285714,3.5,1.571428571,0.417142857,83.71428571,46.64285714,28,527.6428571,0,0,1,0,4,3,1,9,"Orthodox",187.96,185.42,185,29,0.401801801866797,0.707317073212373,0.607843137289888,0.670261941376255,0.3200000000336,0.380952381,0.759133964814911,0.356506238978842,0.10148849797082,0.719999999992533,0.139377537214269,0.864077669900273,0.401801801866797,0.707317073212373,0.607843137289888,0.670261941376255,0.3200000000336,0.380952381,52.785714284,0.759133964814911,0.356506238978842,0.10148849797082,0.719999999992533,0.139377537214269,0.864077669900273,"/fighter/Alan-Belcher-10967"
"Alan Jouban",2017-07-16,1,0,0,14.66666667,9.444444444,8.555555556,5.666666667,67.44444444,33.77777778,5.888888889,3.666666667,56.22222222,24.11111111,0.777777778,11,9.555555556,0.222222222,0,81.88888889,43.11111111,0.541111111,0,0.666666667,0.333333333,0.155555556,88.22222222,49.11111111,3,3,6.333333333,3.666666667,6.777777778,3.777777778,64.11111111,22.66666667,3.888888889,2.444444444,65.44444444,23.11111111,0.222222222,3,2.111111111,0.888888889,0,74.77777778,28.88888889,0.413333333,0.222222222,1.777777778,0.666666667,0.361111111,82.77777778,35.44444444,18,517.5555556,0,0,0,3,3,0,0,6,"Southpaw",182.88,185.42,170,35,0.500823723294947,0.662337662342216,0.622641509478818,0.646447140323162,0.44262295080516,0.371428571560816,0.686567164142652,0.428853754937899,0.179104477650216,0.643939393762741,0.134328358207133,0.868686868727273,0.500823723294947,0.662337662342216,0.622641509478818,0.646447140323162,0.44262295080516,0.371428571560816,81.88888889,0.686567164142652,0.428853754937899,0.179104477650216,0.643939393762741,0.134328358207133,0.868686868727273,"/fighter/Alan-Jouban-65878"
"Alan Patrick",2019-03-09,0,1,0,6,0,5,3,25,8,5,5,26,13,1,3,3,0,0,35,16,0.45,0,2,1,0.5,42,19,1,0,4,3,7,3,21,4,0,0,23,3,0,1,1,0,0,28,7,0.25,0,1,0,0,36,15,1,234,0,0,0,0,1,0,0,1,"Southpaw",180.34,187.96,155,30,0.32,0.6,1,0.80952380952381,0.571428571428571,0,0.742857142857143,0.5,0.171428571428571,0,0.0857142857142857,1,0.32,0.6,1,0.80952380952381,0.571428571428571,0,35,0.742857142857143,0.5,0.171428571428571,0,0.0857142857142857,1,NA
"Albert Morales",2017-06-10,1,0,0,13,7,13,3,216,75,3,1,166,35,0,53,37,0,0,232,79,0.34,0,1,0,0,234,81,0,1,3,3,10,4,147,52,10,5,144,43,0,20,15,0,0,167,61,0.36,0,3,1,0.33,174,68,3,900,0,0,0,0,0,0,0,0,"Orthodox",175.26,182.88,135,25,0.347222222222222,0.230769230769231,0.333333333333333,0.646258503401361,0.6,0.5,0.71551724137931,0.210843373493976,0.0560344827586207,0.538461538461538,0.228448275862069,0.69811320754717,0.347222222222222,0.230769230769231,0.333333333333333,0.646258503401361,0.6,0.5,232,0.71551724137931,0.210843373493976,0.0560344827586207,0.538461538461538,0.228448275862069,0.69811320754717,NA
"Albert Tumenov",2017-07-07,1,0,0,8.571428571,5.857142857,4,2.714285714,74,30.28571429,5,2.285714286,72.57142857,27.85714286,0.714285714,1.857142857,1.571428571,0,0.142857143,83,35.28571429,0.414285714,0,0.714285714,0.142857143,0.142857143,87.28571429,38,5,2,10.85714286,7.857142857,3.142857143,2.428571429,67.14285714,26.85714286,4.857142857,3.857142857,53.71428571,16.57142857,0,10.57142857,8.714285714,1.428571429,0,75.14285714,33.14285714,0.385714286,0.142857143,3.714285714,0.857142857,0.224285714,80.85714286,38.42857143,14,524.1428571,0,0,1,1,3,0,0,5,"Orthodox",180.34,185.42,170,24,0.409266409324324,0.6785714285,0.4571428572,0.599999999940426,0.227272727171488,0.205882352947232,0.874354561105406,0.383858267763462,0.103270223749476,0.683333333350833,0.0223752151451175,0.846153845988166,0.409266409324324,0.6785714285,0.4571428572,0.599999999940426,0.227272727171488,0.205882352947232,82.999999998,0.874354561105406,0.383858267763462,0.103270223749476,0.683333333350833,0.0223752151451175,0.846153845988166,"/fighter/Albert-Tumenov-60198"
"Alberto Crane",2019-05-04,1,0,0,2,2,0,0,6,4,0,0,1,0,0,3,2,3,2,6,4,0.66,3,7,0,0,16,14,0,1,7,4,0,0,12,3,52,23,55,20,0,2,2,5,0,64,26,0.4,0,0,0,0,148,97,3,710,0,0,0,0,0,0,0,0,"Orthodox",165.1,169.106266195724,155,31,0.666666666666667,0,0,0.75,0,0.557692307692308,0.166666666666667,0,0.333333333333333,1,0.5,0.666666666666667,0.666666666666667,0,0,0.75,0,0.557692307692308,6,0.166666666666667,0,0.333333333333333,1,0.5,0.666666666666667,"/fighter/Alberto-Crane-4767"
"Alberto Mina",2018-11-30,0,3,0,5,3.333333333,8,4.333333333,66,28.33333333,10.66666667,7,71.33333333,29.33333333,1,8.333333333,7,0.333333333,0.333333333,84.66666667,39.66666667,0.466666667,0,6.333333333,1.333333333,0.376666667,99.66666667,49.66666667,3,0,1.666666667,1.333333333,3.333333333,2,59.33333333,31.33333333,4,3.666666667,54.33333333,27.33333333,0,10.66666667,8.333333333,0.666666667,0,66.66666667,37,0.456666667,0.333333333,0.666666667,0.333333333,0.333333333,79.33333333,46,6,511.3333333,0,0,1,0,2,0,0,3,"Orthodox",182.88,195.58,170,36,0.429292929242424,0.541666666625,0.656249999794922,0.471910112386062,0.39999999994,0.08333333325,0.842519685036487,0.411214953243515,0.0590551181127937,0.6666666666,0.0984251968507192,0.8400000000336,0.429292929242424,0.541666666625,0.656249999794922,0.471910112386062,0.39999999994,0.08333333325,84.666666663,0.842519685036487,0.411214953243515,0.0590551181127937,0.6666666666,0.0984251968507192,0.8400000000336,"/fighter/Alberto-Mina-16705"
"Alberto Uda",2015-04-25,1,0,0,5,3,13,11,12,3,2,1,19,12,0,3,0,1,1,27,15,0.55,0,2,1,0.5,40,28,0,1,9,6,19,10,25,12,10,5,45,21,1,0,0,1,0,54,27,0.5,0,5,1,0.2,61,34,2,366,0,0,0,0,0,0,0,0,"Orthodox",190.5,195.58,185,32,0.25,0.846153846153846,0.5,0.52,0.473684210526316,0.5,0.703703703703704,0.631578947368421,0.185185185185185,0.6,0.111111111111111,0,0.25,0.846153846153846,0.5,0.52,0.473684210526316,0.5,27,0.703703703703704,0.631578947368421,0.185185185185185,0.6,0.111111111111111,0,NA
"Alejandro Perez",2017-07-16,1,0,0,3.4,2.4,3.6,1.2,71.2,24.6,16.4,11.4,72.6,25.8,0,15.2,9,0.4,0,91.2,37.2,0.356,0.2,1.2,0.4,0.166,103.8,48,2,2,5.4,3.4,3.2,0.8,70.6,23,3.4,2.2,59.8,14.4,0.2,12,8.2,0.6,0.2,77.2,26,0.294,0.8,2.4,1,0.216,80.4,28.4,10,526.6,1,0,0,1,2,0,0,3,"Orthodox",167.64,170.18,135,27,0.345505617977528,0.333333333333333,0.695121951219512,0.674220963172804,0.75,0.352941176470588,0.796052631578947,0.355371900826446,0.037280701754386,0.705882352941177,0.166666666666667,0.592105263157895,0.345505617977528,0.333333333333333,0.695121951219512,0.674220963172804,0.75,0.352941176470588,91.2,0.796052631578947,0.355371900826446,0.037280701754386,0.705882352941177,0.166666666666667,0.592105263157895,"/fighter/Alejandro-Perez-13428"
"Aleksandar Rakic",2018-02-18,0,3,0,10.33333333,8.333333333,6.666666667,4.666666667,68.33333333,26.33333333,38,29.33333333,86.66666667,40.66666667,0.666666667,16,11.33333333,1.333333333,0,113,60.33333333,0.566666667,0,1.666666667,1,0.25,181,123.6666667,3,0,1.666666667,0,3.333333333,3,30.66666667,12.33333333,3.333333333,3,29.66666667,13.66666667,0.333333333,6,4.666666667,0.333333333,0,37.33333333,18.33333333,0.5,0,5.666666667,0.666666667,0.046666667,49,29.33333333,7,681.6666667,0,0,0,2,1,0,0,3,"Orthodox",193.04,198.12,205,27,0.385365853628554,0.700000000015,0.771929824473684,0.597826087108932,0.0999999999100001,0.0999999999100001,0.766961651946903,0.469230769251183,0.0914454276991151,0.806451613131113,0.141592920353982,0.708333333125,0.385365853628554,0.700000000015,0.771929824473684,0.597826087108932,0.0999999999100001,0.0999999999100001,113,0.766961651946903,0.469230769251183,0.0914454276991151,0.806451613131113,0.141592920353982,0.708333333125,NA
"Aleksei Kunchenko",2016-12-10,0,1,0,8,5,12,4,141,40,0,0,133,32,0,12,7,0,0,153,44,0.28,0,2,1,0.5,166,56,1,0,22,11,2,0,173,56,0,0,116,19,0,37,26,0,0,175,56,0.32,0,0,0,0,175,56,3,900,0,0,0,1,0,0,0,1,"Orthodox",172.72,177.8,170,34,0.283687943262411,0.333333333333333,0,0.676300578034682,1,0,0.869281045751634,0.240601503759398,0.0522875816993464,0.625,0.0784313725490196,0.583333333333333,0.283687943262411,0.333333333333333,0,0.676300578034682,1,0,153,0.869281045751634,0.240601503759398,0.0522875816993464,0.625,0.0784313725490196,0.583333333333333,NA
"Aleksei Oleinik",2019-03-30,0,2,0,4.8,4.8,6.4,5.2,22.6,8.8,5.2,4.2,28.2,12.4,0.4,1.2,1,1.8,0.2,34.2,18.2,0.484,1.2,3,1.6,0.314,69.6,50.8,2,1,6,4.8,8.6,6,21.2,9,4.8,3.6,27.8,13,0.2,0.8,0.8,1,0.4,34.6,18.6,0.512,0,0.8,0.6,0.6,53,36.6,8,388,0,0,0,0,1,3,0,4,"Orthodox",187.96,203.2,240,40,0.389380530973451,0.8125,0.807692307692308,0.575471698113208,0.302325581395349,0.25,0.824561403508772,0.439716312056738,0.140350877192982,1,0.0350877192982456,0.833333333333333,0.389380530973451,0.8125,0.807692307692308,0.575471698113208,0.302325581395349,0.25,34.2,0.824561403508772,0.439716312056738,0.140350877192982,1,0.0350877192982456,0.833333333333333,NA
"Alessandro Ricci",2004-06-19,1,0,0,28,16,22,15,37,13,1,0,25,7,0,7,5,0,0,60,28,0.46,0,2,0,0,118,83,0,1,15,8,23,11,45,15,3,1,51,16,0,5,3,0,0,71,27,0.38,0,14,5,0.35,94,43,3,900,0,0,0,0,0,0,0,0,"Orthodox",180.34,175.26,155,34,0.351351351351351,0.681818181818182,0,0.666666666666667,0.521739130434783,0.666666666666667,0.416666666666667,0.28,0.466666666666667,0.571428571428571,0.116666666666667,0.714285714285714,0.351351351351351,0.681818181818182,0,0.666666666666667,0.521739130434783,0.666666666666667,60,0.416666666666667,0.28,0.466666666666667,0.571428571428571,0.116666666666667,0.714285714285714,NA
"Alessio Di Chirico",2017-11-18,1,0,0,25,16,3,2,142,61,3,2,111,40,0,12,9,1,0,148,65,0.43,0,3,2,0.66,161,78,0,1,17,9,4,2,131,43,0,0,89,16,0,29,20,1,1,135,45,0.33,1,5,1,0.2,148,56,3,900,0,0,0,0,0,0,0,0,"Orthodox",182.88,187.96,185,26,0.429577464788732,0.666666666666667,0.666666666666667,0.67175572519084,0.5,0,0.75,0.36036036036036,0.168918918918919,0.64,0.0810810810810811,0.75,0.429577464788732,0.666666666666667,0.666666666666667,0.67175572519084,0.5,0,148,0.75,0.36036036036036,0.168918918918919,0.64,0.0810810810810811,0.75,NA
